#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC03159.JPG	35.4872358723	139.4550425770	250.5332946777	
DSC03160.JPG	35.4868386760	139.4552698227	251.7566070557	
DSC03161.JPG	35.4864548996	139.4554255117	251.3719635010	
DSC03162.JPG	35.4860178179	139.4556066742	248.9323577881	
DSC03163.JPG	35.4856656087	139.4557747582	249.4864349365	
DSC03164.JPG	35.4863227060	139.4561641283	240.0924072266	
DSC03165.JPG	35.4869071372	139.4558977399	242.9671325684	
DSC03166.JPG	35.4874464142	139.4556579620	245.9567565918	
DSC03167.JPG	35.4875396088	139.4562402334	248.2729339600	
DSC03168.JPG	35.4871763261	139.4564648038	248.8679351807	
DSC03169.JPG	35.4867749726	139.4566715672	247.3267822266	
DSC03170.JPG	35.4863587257	139.4568340206	246.9372253418	
DSC03171.JPG	35.4859577447	139.4569969225	250.4888153076	
DSC03172.JPG	35.4867881811	139.4573568609	239.7839508057	
DSC03173.JPG	35.4873607957	139.4570562806	244.2652282715	
DSC03174.JPG	35.4880231228	139.4568158521	245.4669952393	
DSC03175.JPG	35.4877717373	139.4576022889	248.2842254639	
DSC03176.JPG	35.4873702409	139.4577627756	249.3901062012	
DSC03177.JPG	35.4869448359	139.4579380306	251.0467529297	
DSC03178.JPG	35.4865342008	139.4581301592	250.7001037598	
DSC03179.JPG	35.4861214715	139.4582904897	251.5093994141	
DSC03180.JPG	35.4867535614	139.4587165839	242.7141113281	
DSC03181.JPG	35.4873574105	139.4584674407	243.4390411377	
DSC03182.JPG	35.4879673594	139.4582112001	244.7918853760	
DSC03183.JPG	35.4885602542	139.4579629202	245.9805145264	
DSC03184.JPG	35.4881185178	139.4588627636	246.9067382812	
DSC03185.JPG	35.4877122471	139.4590103049	249.2528839111	
DSC03186.JPG	35.4873219079	139.4591992788	250.5466766357	
DSC03187.JPG	35.4868877839	139.4593182130	249.5428619385	
DSC03188.JPG	35.4864916584	139.4595526946	251.6374969482	
DSC03189.JPG	35.4869491914	139.4596258922	241.8868560791	
DSC03190.JPG	35.4876364678	139.4594284926	244.0647888184	
DSC03191.JPG	35.4882237554	139.4590744748	249.4486389160	
DSC03192.JPG	35.4889136811	139.4588484565	246.2610321045	
DSC03193.JPG	35.4881986265	139.4583798712	251.8323822021	
DSC03194.JPG	35.4878641323	139.4586126655	251.0179138184	
